Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Gross Amount,Commission,Net Amount
2025-07-25,TFSA,FX Translations P&L,Adjustment,-,-,-,"-3,362.99",-,"-3,362.99"
2025-07-22,TFSA,Electronic Fund Transfer (Regular Contribution),Deposit,-,-,-,"2,000.00",-,"2,000.00"
2025-07-22,TFSA,Net Amount in Base from Forex Trade: 417.79 USD.CAD,Forex Trade Component,USD.CAD,417.79,1.3672  CAD,-2.74,-,-2.74
2025-07-22,TFSA,"Net Amount in Base from Forex Trade: 1,024.25 USD.CAD",Forex Trade Component,USD.CAD,"1,024.25",1.3668  CAD,-9.14,-2.74,-9.14
2025-07-22,TFSA,CAMECO CORP,Buy,CCJ,6,75.6300  USD,-617.41,-1.36,-618.77
2025-07-22,TFSA,ADVANCED MICRO DEVICES,Buy,AMD,1,150.0700  USD,-204.19,-1.36,-205.55
2025-07-22,TFSA,ADVANCED MICRO DEVICES,Buy,AMD,2,150.0700  USD,-408.37,0,-408.37
2025-07-22,TFSA,TESLA INC,Buy,TSLA,1,324.9600  USD,-442.14,-1.36,-443.5
2025-07-11,TFSA,CSU(CA21037X1006) Cash Dividend CAD 1.3728 per Share (Ordinary Dividend),Dividend,CSU,-,-,2.75,-,2.75
2025-07-10,TFSA,SOFI TECHNOLOGIES INC,Buy,SOFI,8,20.9850  USD,-229.24,-1.37,-230.61
2025-07-10,TFSA,Net Amount in Base from Forex Trade: 167.88 USD.CAD,Forex Trade Component,USD.CAD,167.88,1.3687  CAD,-0.54,-,-0.54
2025-07-10,TFSA,Net Amount in Base from Forex Trade: 1 USD.CAD,Forex Trade Component,USD.CAD,1,1.3688  CAD,0,-,0
2025-07-10,TFSA,Net Amount in Base from Forex Trade: 0.000216 USD.CAD,Forex Trade Component,USD.CAD,0,1.3660  CAD,0,-,0
2025-07-10,TFSA,TSM(US8740391003) Cash Dividend USD 0.780305 per Share (Ordinary Div - NRA Withholding Exempt),Dividend,TSM,-,-,64.1,-,64.1
2025-07-10,TFSA,TSM(US8740391003) Cash Dividend USD 0.780305 per Share - TW Tax,Foreign Tax Withholding,TSM,-,-,-13.46,-,-13.46
2025-07-10,RRSP,TSM(US8740391003) Cash Dividend USD 0.780305 per Share (Ordinary Div - NRA Withholding Exempt),Dividend,TSM,-,-,41.66,-,41.66
2025-07-10,RRSP,TSM(US8740391003) Cash Dividend USD 0.780305 per Share - TW Tax,Foreign Tax Withholding,TSM,-,-,-8.75,-,-8.75
2025-07-07,RRSP,MSTY(US88634T4931) Cash Dividend USD 1.2382 per Share (Ordinary Dividend),Dividend,MSTY,-,-,750.54,-,750.54
2025-07-03,TFSA,Electronic Fund Transfer (Regular Contribution),Deposit,-,-,-,"1,000.00",-,"1,000.00"
2025-07-03,TFSA,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share (Ordinary Dividend),Dividend,NVDA,-,-,3.26,-,3.26
2025-07-03,TFSA,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share - US Tax,Foreign Tax Withholding,NVDA,-,-,-0.49,-,-0.49
2025-07-03,RRSP,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share (Ordinary Dividend),Dividend,NVDA,-,-,2.8,-,2.8
2025-07-03,RRSP,YIELDMAX MSTR OPTION IS ETF,Buy,MSTY,17,20.9700  USD,-484.22,-1.36,-485.58
2025-07-03,TFSA,Net Amount in Base from Forex Trade: 569.51 USD.CAD,Forex Trade Component,USD.CAD,569.51,1.3570  CAD,0.73,-,0.73
2025-07-03,TFSA,META PLATFORMS INC-CLASS A,Buy,META,1,717.8300  USD,-975.03,-1.36,-976.39
2025-07-03,TFSA,Net Amount in Base from Forex Trade: 0.002446 USD.CAD,Forex Trade Component,USD.CAD,0,1.3587  CAD,0,-,0
2025-07-03,RRSP,Net Amount in Base from Forex Trade: -0.31319147 USD.CAD,Forex Trade Component,USD.CAD,-0.31,1.3579  CAD,0,-,0
2025-07-02,TFSA,APPLE INC,Sell,AAPL,-12,211.7300  USD,"3,453.40",-1.36,"3,452.04"
2025-07-02,TFSA,META PLATFORMS INC-CLASS A,Buy,META,4,719.2050  USD,"-3,910.17",-1.36,"-3,911.53"
2025-07-02,TFSA,Net Amount in Base from Forex Trade: 439.78 USD.CAD,Forex Trade Component,USD.CAD,439.78,1.3643  CAD,-4.97,-2.73,-4.97
2025-07-02,RRSP,VTI(US9229087690) Cash Dividend USD 0.9132 per Share (Ordinary Dividend),Dividend,VTI,-,-,177.5,-,177.5
2025-06-26,TFSA,META(US30303M1027) Cash Dividend USD 0.525 per Share (Ordinary Dividend),Dividend,META,-,-,10.03,-,10.03
2025-06-26,TFSA,META(US30303M1027) Cash Dividend USD 0.525 per Share - US Tax,Foreign Tax Withholding,META,-,-,-1.5,-,-1.5
2025-06-16,RRSP,YIELDMAX MSTR OPTION IS ETF,Buy,MSTY,20,21.3600  USD,-579.75,-1.36,-581.11
2025-06-16,TFSA,GOOGL(US02079K3059) Cash Dividend USD 0.21 per Share (Ordinary Dividend),Dividend,GOOGL,-,-,21.09,-,21.09
2025-06-16,TFSA,GOOGL(US02079K3059) Cash Dividend USD 0.21 per Share - US Tax,Foreign Tax Withholding,GOOGL,-,-,-3.16,-,-3.16
2025-06-12,TFSA,MSFT(US5949181045) Cash Dividend USD 0.83 per Share (Ordinary Dividend),Dividend,MSFT,-,-,41.72,-,41.72
2025-06-12,TFSA,MSFT(US5949181045) Cash Dividend USD 0.83 per Share - US Tax,Foreign Tax Withholding,MSFT,-,-,-6.26,-,-6.26
2025-06-12,RRSP,MSFT(US5949181045) Cash Dividend USD 0.83 per Share (Ordinary Dividend),Dividend,MSFT,-,-,5.64,-,5.64
2025-06-06,TFSA,AMAZON.COM INC,Buy,AMZN,7,212.9350  USD,"-2,041.15",-1.37,"-2,042.52"
2025-06-06,TFSA,Net Amount in Base from Forex Trade: 1 USD.CAD,Forex Trade Component,USD.CAD,1,1.3686  CAD,0,-,0
