, ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,,1,2,3,4,5,6
,$,,Jul//18,Aug//18,Sep//18,Oct//18,Nov//18,Dec//18,Jan//19,Feb//19,Mar//19,Apr//19,May//19,Jun//19,Jul//19,Aug//19,Sep//19,Oct//19,Nov//19,Dec//19,Jan//20,Feb//20,Mar//20,Apr//20,May//20,Jun//20,Jul//20,Aug//20,Sep//20,Oct//20,Nov//20,Dec//20,Jan//21,Feb//21,Mar//21,Apr//21,May//21,Jun//21,Jul//21,Aug//21,Sep//21,Oct//21,Nov//21,Dec//21,Jan//22,Feb//22,Mar//22,Apr//22,May//22,Jun//22,Jul//22,Aug//22,Sep//22,Oct//22,Nov//22,Dec//22,Jan//23,Feb//23,Mar//23,Apr//23,May//23,Jun//23,Jul//23,Aug//23,Sep//23,Oct//23,Nov//23,Dec//23,Jan//24,Feb//24,Mar//24,Apr//24,May//24,Jun//24,Jul//24,Aug//24,Sep//24,Oct//24,Nov//24,Dec//24,Jan//25,Feb//25,Mar//25,Apr//25,May//25,Jun//25,Jul//25,,2019,2020,2021,2022,2023,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bank Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,line of credit,"2,360","1,809","2,945",43,"2,259","2,152",555,"3,697","2,274",167,(76),"4,439","4,146","3,301","3,604","2,341","3,024","5,024","4,660","9,251","1,993","3,079","2,842","2,254","3,508","3,432","5,678","2,427","5,026","7,201","1,915","2,549","4,857","3,355",(840),544,"2,044","2,044",(143),902,"1,306","5,300","(1,663)","2,471","5,501","1,959","5,009","1,586","2,138","8,721","10,612","2,766","4,292","13,358","1,024","2,466",464,"(2,577)","3,076","1,514",(21),"5,269","(4,715)","(4,715)","(1,815)","9,266","12,360","2,672","3,171","1,040","(1,492)","3,448","(14,532)","2,005","3,752","6,569",(237),"2,151","1,633","3,526","5,135","5,202",367,"3,033","3,033",,"2,152","7,201","5,300","13,358","9,266","2,151"
2,,Savings account,450,393,394,827,"2,002","4,945",-,"2,850",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"4,945",-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bank accounts,,"2,810","2,202","3,339",870,"4,261","7,097",555,"6,547","2,274",167,(76),"4,439","4,146","3,301","3,604","2,341","3,024","5,024","4,660","9,251","1,993","3,079","2,842","2,254","3,508","3,432","5,678","2,427","5,026","7,201","1,915","2,549","4,857","3,355",(840),544,"2,044","2,044",(143),902,"1,306","5,300","(1,663)","2,471","5,501","1,959","5,009","1,586","2,138","8,721","10,612","2,766","4,292","13,358","1,024","2,466",464,"(2,577)","3,076","1,514",(21),"5,269","(4,715)","(4,715)","(1,815)","9,266","12,360","2,672","3,171","1,040","(1,492)","3,448","(14,532)","2,005","3,752","6,569",(237),"2,151","1,633","3,526","5,135","5,202",367,"3,033","3,033",,"7,097","7,201","5,300","13,358","9,266","2,151"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investment Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
