# IBKR Cashflow Digest - Generated: 2025-07-26 19:49:26
year,quarter,accountType,deposits,withdrawals,dividends,interest,fees,netCashflow
2015,3,TFSA,38000.0,-19000.0,0.0,0.48,-21.82,18978.66
2015,4,TFSA,0.0,0.0,0.0,0.0,-39.89,-39.89
2016,1,TFSA,0.0,0.0,0.0,0.0,-49.03,-49.03
2016,2,TFSA,0.0,0.0,0.0,0.0,-52.93,-52.93
2016,3,TFSA,0.0,0.0,14.48,0.0,-33.95,-19.47
2016,4,TFSA,0.0,0.0,14.72,0.0,-43.92,-29.2
2017,1,TFSA,11540.0,0.0,38.16,0.0,-40.94,11537.22
2017,2,TFSA,4550.0,0.0,40.82,0.0,-13.44,4577.38
2017,3,TFSA,9275.0,0.0,50.48,0.0,0.0,9325.48
2017,4,RRSP,13000.0,0.0,0.0,0.0,0.0,13000.0
2017,4,TFSA,0.0,-5178.0,20.42,0.0,-5.49,-5163.07
2018,1,RRSP,0.0,-3705.58,2.95,0.0,-6.66,-3709.29
2018,1,TFSA,0.0,-7650.0,18.77,0.0,0.0,-7631.23
2018,2,RRSP,0.0,0.0,36.91,0.0,-20.13,16.78
2018,2,TFSA,8000.0,0.0,41.63,0.0,-1.34,8040.29
2018,3,RRSP,4000.0,0.0,0.0,0.0,-15.13,3984.87
2018,3,TFSA,3577.28,0.0,156.27,0.0,-5.79,3727.76
2018,4,Margin,6100.0,0.0,7.43,-0.75,0.0,6106.68
2018,4,RRSP,0.0,0.0,15.39,0.0,-12.5,2.89
2018,4,TFSA,0.0,0.0,87.37,0.0,-0.07,87.3
2019,1,Margin,8400.0,0.0,0.0,-0.15,0.0,8399.85
2019,1,RRSP,0.0,0.0,15.53,0.0,-14.23,1.3
2019,1,TFSA,6000.0,0.0,96.03,0.0,-3.09,6092.94
2019,2,Margin,3940.0,-3000.0,33.0,-8760.12,-4.98,-7792.1
2019,2,RRSP,0.0,0.0,498.13,0.0,-17.22,480.91
2019,2,TFSA,0.0,0.0,45.8,49.08,-9.64,85.24
2019,3,Margin,1750.0,0.0,65.49,-3265.4,-4.26,-1454.17
2019,3,RRSP,0.0,0.0,450.15,-2503.0,-20.42,-2073.27
2019,3,TFSA,0.0,0.0,117.87,-978.01,-5.3,-865.44
2019,4,Margin,1900.0,0.0,78.82,-3.03,-30.4,1945.39
2019,4,RRSP,0.0,0.0,424.33,0.0,-39.81,384.52
2019,4,TFSA,0.0,0.0,74.14,3.78,-17.13,60.79
2020,1,Margin,8000.0,-7000.0,40.56,11997.4,-30.82,13007.14
2020,1,RRSP,0.0,0.0,16.99,2498.67,-37.63,2478.03
2020,1,TFSA,6000.0,0.0,81.12,1006.46,-19.03,7068.55
2020,2,Margin,600.0,0.0,1.44,1.55,-25.39,577.6
2020,2,RRSP,0.0,0.0,24.82,0.0,-51.23,-26.41
2020,2,TFSA,0.0,0.0,70.23,0.0,-26.79,43.44
2020,3,Margin,500.0,-2000.0,0.0,1.56,-33.73,-1532.17
