# IBKR Position Digest - Generated: 2025-07-26 19:49:26
rank,ticker,securityName,accountType,marketValue_CAD,weight_pct,12m_return_pct,unrealized_gain_pct,contribution_to_total_return_pct
1,NVDA,NVIDIA CORP,All,106027.4462,29.8795,112.8163,112.8163,33.709
2,SOFI,SOFI TECHNOLOGIES INC,All,8859.7132,2.4968,102.2254,102.2254,2.5523
3,TSM,TAIWAN SEMICONDUCTOR-SP ADR,All,33315.5909,9.3886,71.4158,71.4158,6.705
4,AAPL,APPLE INC,All,21686.3198,6.1114,46.081,46.081,2.8162
5,MSFT,MICROSOFT CORP,All,29563.1886,8.3312,35.3588,35.3588,2.9458
6,VTI,VANGUARD TOTAL STOCK MKT ETF,All,61463.9794,17.3211,32.778,32.778,5.6775
7,AMZN,AMAZON.COM INC,All,20295.6216,5.7195,20.4315,20.4315,1.1686
8,META,META PLATFORMS INC-CLASS A,All,18553.7686,5.2286,18.255,18.255,0.9545
9,GOOGL,ALPHABET INC-CL A,All,19587.4475,5.5199,7.8967,7.8967,0.4359
10,CSU,CONSTELLATION SOFTWARE INC,All,9780.58,2.7563,6.673,6.673,0.1839
11,CCJ,CAMECO CORP,All,654.4075,0.1844,5.0178,5.0178,0.0093
12,CAD,Canadian Dollar,All,127.2977,0.0359,0.0,0.0,0.0
13,USD,United States Dollar,All,1564.1203,0.4408,0.0,0.0,0.0
14,TSLA,TESLA INC,All,433.0654,0.122,-3.0372,-3.0372,-0.0037
15,MSTY,YIELDMAX MSTR OPTION IS ETF,All,13128.9824,3.6999,-11.1074,-11.1074,-0.411
16,AMD,ADVANCED MICRO DEVICES,All,9808.1793,2.764,-18.913,-18.913,-0.5228
