# Net Worth Digest - Generated: 2025-07-26 19:39:18
date,totalNW,cryptoVal,cryptoPct,equitiesVal,fixedIncomeVal,cashVal,otherVal,MoM_pct,YoY_pct,rolling_12m_return,rolling_12m_stdev,max_drawdown_to_date,milestone_flag
2018-07-01,345038.0,41992.0,0.1217,126312.0,0.0,5620.0,171114.0,,,,,0.0,False
2018-08-01,382230.0,47920.0,0.1254,139892.0,0.0,4404.0,190014.0,0.1078,,,,0.0,False
2018-09-01,370213.0,32476.0,0.0877,147622.0,0.0,6678.0,183437.0,-0.0314,,,,-0.0314,False
2018-10-01,382534.0,46476.0,0.1215,143486.0,0.0,1740.0,190832.0,0.0333,,,,-0.0314,False
2018-11-01,350431.0,29224.0,0.0834,139600.0,0.0,8522.0,173085.0,-0.0839,,,,-0.0839,False
2018-12-01,334159.0,29336.0,0.0878,127098.0,0.0,14194.0,163531.0,-0.0464,,,,-0.1265,False
2019-01-01,364493.0,24364.0,0.0668,157050.0,0.0,1110.0,181969.0,0.0908,,,,-0.1265,False
2019-02-01,413285.0,27964.0,0.0677,168858.0,0.0,13094.0,203369.0,0.1339,,,,-0.1265,True
2019-03-01,437182.0,30108.0,0.0689,185072.0,0.0,4548.0,217454.0,0.0578,,,,-0.1265,False
2019-04-01,464929.0,37696.0,0.0811,194518.0,0.0,334.0,232381.0,0.0635,,,,-0.1265,False
2019-05-01,486572.0,61218.0,0.1258,182182.0,0.0,-152.0,243324.0,0.0466,,,,-0.1265,False
2019-06-01,551917.0,84082.0,0.1523,185218.0,0.0,8878.0,273739.0,0.1343,,,,-0.1265,True
2019-07-01,497251.0,54926.0,0.1105,187026.0,303.0,8292.0,246704.0,-0.099,0.4411,0.4411,0.0813,-0.1265,False
2019-08-01,484808.0,52722.0,0.1087,184276.0,303.0,6602.0,240905.0,-0.025,0.2684,0.2684,0.0793,-0.1265,False
2019-09-01,457027.0,34780.0,0.0761,187384.0,629.0,7208.0,227026.0,-0.0573,0.2345,0.2345,0.0813,-0.1719,False
2019-10-01,475902.0,39358.0,0.0827,193652.0,953.0,4682.0,237257.0,0.0413,0.2441,0.2441,0.0814,-0.1719,False
2019-11-01,509245.0,41050.0,0.0806,206572.0,1643.0,6048.0,253932.0,0.0701,0.4532,0.4532,0.0752,-0.1719,True
2019-12-01,516289.0,40480.0,0.0784,207622.0,1671.0,10048.0,256468.0,0.0138,0.545,0.545,0.0712,-0.1719,False
2020-01-01,556358.0,51644.0,0.0928,216020.0,2350.0,9320.0,277024.0,0.0776,0.5264,0.5264,0.0705,-0.1719,False
2020-02-01,545976.0,50012.0,0.0916,205858.0,2161.0,18502.0,269443.0,-0.0187,0.3211,0.3211,0.0652,-0.1719,False
2020-03-01,533363.0,39428.0,0.0739,220814.0,2300.0,3986.0,266835.0,-0.0231,0.22,0.22,0.0657,-0.1719,False
2020-04-01,589622.0,52020.0,0.0882,233914.0,2839.0,6158.0,294691.0,0.1055,0.2682,0.2682,0.0693,-0.1719,False
2020-05-01,588282.0,55624.0,0.0946,229574.0,3120.0,5684.0,294280.0,-0.0023,0.209,0.209,0.0692,-0.1719,False
2020-06-01,576352.0,52490.0,0.0911,227604.0,3134.0,4508.0,288616.0,-0.0203,0.0443,0.0443,0.0593,-0.1719,False
2020-07-01,605088.0,65522.0,0.1083,226852.0,3272.0,7016.0,302426.0,0.0499,0.2169,0.2169,0.0504,-0.1719,True
2020-08-01,598993.0,67088.0,0.112,222084.0,3451.0,6864.0,299506.0,-0.0101,0.2355,0.2355,0.0494,-0.1719,False
2020-09-01,606584.0,62454.0,0.103,227278.0,3362.0,11356.0,302134.0,0.0127,0.3272,0.3272,0.0434,-0.1719,True
2020-10-01,609315.0,75562.0,0.124,220460.0,3330.0,4854.0,305109.0,0.0045,0.2803,0.2803,0.0434,-0.1719,False
2020-11-01,717298.0,100986.0,0.1408,244280.0,3896.0,10052.0,358084.0,0.1772,0.4086,0.4086,0.0615,-0.1719,True
2020-12-01,862039.0,155576.0,0.1805,257772.0,4580.0,14402.0,429709.0,0.2018,0.6697,0.6697,0.0784,-0.1719,True
2021-01-01,1015172.0,205716.0,0.2026,292000.0,4665.0,3830.0,508961.0,0.1776,0.8247,0.8247,0.0869,-0.1719,True
2021-02-01,1062731.0,237608.0,0.2236,282020.0,5276.0,5098.0,532729.0,0.0468,0.9465,0.9465,0.0839,-0.1719,False
2021-03-01,1207784.0,315874.0,0.2615,272508.0,5483.0,9714.0,604205.0,0.1365,1.2645,1.2645,0.0822,-0.1719,True
2021-04-01,1247723.0,307358.0,0.2463,302468.0,6002.0,6710.0,625185.0,0.0331,1.1161,1.1161,0.0823,-0.1719,False
2021-05-01,991852.0,205974.0,0.2077,281786.0,6284.0,-1680.0,499488.0,-0.2051,0.686,0.686,0.113,-0.2051,False
2021-06-01,1076409.0,203196.0,0.1888,323700.0,6995.0,1088.0,541430.0,0.0853,0.8676,0.8676,0.1111,-0.2051,True
2021-07-01,1147739.0,228850.0,0.1994,330480.0,7649.0,4088.0,576672.0,0.0663,0.8968,0.8968,0.111,-0.2051,True
2021-08-01,1309919.0,287640.0,0.2196,352780.0,7649.0,4088.0,657762.0,0.1413,1.1869,1.1869,0.1109,-0.2051,True
2021-09-01,1276969.0,287970.0,0.2255,337568.0,8774.0,-286.0,642943.0,-0.0252,1.1052,1.1052,0.1133,-0.2051,False
2021-10-01,1550929.0,375150.0,0.2419,385280.0,9121.0,1804.0,779574.0,0.2145,1.5454,1.5454,0.1183,-0.2051,True
2021-11-01,1618636.0,369590.0,0.2283,422760.0,10006.0,2612.0,813668.0,0.0437,1.2566,1.2566,0.1154,-0.2051,True
2021-12-01,1378791.0,320200.0,0.2322,344948.0,10865.0,10600.0,692178.0,-0.1482,0.5995,0.5995,0.1247,-0.2051,False
2022-01-01,1228060.0,188326.0,0.1534,410404.0,11863.0,-3326.0,620793.0,-0.1093,0.2097,0.2097,0.1249,-0.2413,False
2022-02-01,1094999.0,181102.0,0.1654,345660.0,11354.0,4942.0,551941.0,-0.1084,0.0304,0.0304,0.1301,-0.3235,False
2022-03-01,1239275.0,207618.0,0.1675,385522.0,12164.0,11002.0,622969.0,0.1318,0.0261,0.0261,0.1297,-0.3235,True
2022-04-01,1033299.0,178978.0,0.1732,317234.0,11666.0,3918.0,521503.0,-0.1662,-0.1719,-0.1719,0.1389,-0.3616,False
2022-05-01,860017.0,118726.0,0.1381,285526.0,12162.0,10018.0,433585.0,-0.1677,-0.1329,-0.1329,0.1344,-0.4687,False
2022-06-01,839009.0,134710.0,0.1606,264036.0,12253.0,3172.0,424838.0,-0.0244,-0.2205,-0.2205,0.1315,-0.4817,False
2022-07-01,951667.0,162056.0,0.1703,290766.0,13203.0,4276.0,481366.0,0.1343,-0.1708,-0.1708,0.1366,-0.4817,True
2022-08-01,926145.0,146258.0,0.1579,283456.0,13518.0,17442.0,465471.0,-0.0268,-0.293,-0.293,0.1284,-0.4817,False
2022-09-01,880101.0,141062.0,0.1603,262240.0,13887.0,21224.0,441688.0,-0.0497,-0.3108,-0.3108,0.1287,-0.4817,False
2022-10-01,840556.0,146126.0,0.1738,247830.0,14782.0,5532.0,426286.0,-0.0449,-0.458,-0.458,0.1047,-0.4817,False
2022-11-01,871602.0,119718.0,0.1374,286440.0,15470.0,8584.0,441390.0,0.0369,-0.4615,-0.4615,0.1042,-0.4817,False
2022-12-01,847718.0,115366.0,0.1361,263484.0,16648.0,26716.0,425504.0,-0.0274,-0.3852,-0.3852,0.099,-0.4817,False
2023-01-01,1020501.0,158318.0,0.1551,324424.0,17315.0,2048.0,518396.0,0.2038,-0.169,-0.169,0.1173,-0.4817,True
2023-02-01,1048199.0,161330.0,0.1539,332414.0,17771.0,4932.0,531752.0,0.0271,-0.0427,-0.0427,0.1133,-0.4817,False
2023-03-01,1220534.0,192418.0,0.1577,388116.0,19358.0,928.0,619714.0,0.1644,-0.0151,-0.0151,0.1171,-0.4817,True
2023-04-01,1226640.0,202718.0,0.1653,385060.0,19605.0,-5154.0,624411.0,0.005,0.1871,0.1871,0.104,-0.4817,False
2023-05-01,1308668.0,191600.0,0.1464,427400.0,20480.0,6152.0,663036.0,0.0669,0.5217,0.5217,0.0862,-0.4817,True
2023-06-01,1346997.0,198312.0,0.1472,440820.0,21397.0,3028.0,683440.0,0.0293,0.6055,0.6055,0.084,-0.4817,False
2023-07-01,1331830.0,187104.0,0.1405,444308.0,23023.0,-42.0,677437.0,-0.0113,0.3995,0.3995,0.0801,-0.4817,False
2023-08-01,1321381.0,175820.0,0.1331,441660.0,23538.0,10538.0,669825.0,-0.0078,0.4268,0.4268,0.079,-0.4817,False
2023-09-01,1259681.0,181070.0,0.1437,420536.0,23538.0,-9430.0,643967.0,-0.0467,0.4313,0.4313,0.0787,-0.4817,False
2023-10-01,1259681.0,181070.0,0.1437,420536.0,23538.0,-9430.0,643967.0,0.0,0.4986,0.4986,0.0757,-0.4817,False
2023-11-01,1528979.0,277200.0,0.1813,450880.0,26088.0,-3630.0,778441.0,0.2138,0.7542,0.7542,0.0913,-0.4817,True
2023-12-01,1527633.0,263828.0,0.1727,443924.0,27777.0,18532.0,773572.0,-0.0009,0.8021,0.8021,0.0896,-0.4817,False
2024-01-01,1593080.0,268804.0,0.1687,462106.0,30060.0,24720.0,807390.0,0.0428,0.5611,0.5611,0.076,-0.4817,False
2024-02-01,1923326.0,387268.0,0.2014,521811.0,31027.0,5344.0,977876.0,0.2073,0.8349,0.8349,0.0898,-0.4817,True
2024-03-01,2016443.0,434994.0,0.2157,516519.0,33255.0,6342.0,1025333.0,0.0484,0.6521,0.6521,0.0829,-0.4817,True
2024-04-01,1926747.0,380660.0,0.1976,523151.0,33250.0,2080.0,987606.0,-0.0445,0.5708,0.5708,0.0863,-0.4817,False
2024-05-01,2112702.0,431054.0,0.204,566812.0,34864.0,-2984.0,1082956.0,0.0965,0.6144,0.6144,0.0875,-0.4817,True
2024-06-01,2158141.0,390210.0,0.1808,620283.0,36407.0,6896.0,1104345.0,0.0215,0.6022,0.6022,0.0877,-0.4817,False
2024-07-01,2095722.0,405800.0,0.1936,600299.0,36407.0,-29064.0,1082280.0,-0.0289,0.5736,0.5736,0.0888,-0.4817,False
2024-08-01,1999157.0,355472.0,0.1778,575630.0,37742.0,4010.0,1026303.0,-0.0461,0.5129,0.5129,0.0914,-0.4817,False
2024-09-01,2098662.0,383336.0,0.1827,591351.0,39927.0,7504.0,1076544.0,0.0498,0.666,0.666,0.0874,-0.4817,True
2024-10-01,2231890.0,441850.0,0.198,592100.0,41761.0,13138.0,1143041.0,0.0635,0.7718,0.7718,0.0862,-0.4817,True
2024-11-01,2745279.0,651448.0,0.2373,644439.0,44765.0,-474.0,1405101.0,0.23,0.7955,0.7955,0.089,-0.4817,True
2024-12-01,2703070.0,654382.0,0.2421,613415.0,47050.0,4302.0,1383921.0,-0.0154,0.7694,0.7694,0.0899,-0.4817,False
2025-01-01,2764187.0,687134.0,0.2486,609362.0,48478.0,3266.0,1415947.0,0.0226,0.7351,0.7351,0.0903,-0.4817,False
2025-02-01,2335813.0,491504.0,0.2104,587832.0,48461.0,7052.0,1200964.0,-0.155,0.2145,0.2145,0.0936,-0.4817,False
2025-03-01,2173093.0,442904.0,0.2038,556165.0,46561.0,10270.0,1117193.0,-0.0697,0.0777,0.0777,0.0965,-0.4817,False
