Date,Date Processed,Description,Amount
28 Jun 2025,28 Jun 2025,AMAZON.CA               AMAZON.CA,-2110.33
28 Jun 2025,29 Jun 2025,CHIPOTLE 5323           TORONTO,20.51
28 Jun 2025,29 Jun 2025,DOORDASHGRILLIES        DOWNTOWN TORONT,21.54
28 Jun 2025,29 Jun 2025,SHOPPERS DRUG MART #139 TORONTO,6.78
27 Jun 2025,27 Jun 2025,AMAZON.CA*NQ4PP8YH2     AMAZON.CA,2110.33
27 Jun 2025,28 Jun 2025,AMZN MKTP CA*NQ83J2V40  WWW.AMAZON.CA,64.88
27 Jun 2025,28 Jun 2025,DOORDASHFRESHBURRIT     DOWNTOWN TORONT,19.76
27 Jun 2025,29 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,16.14
27 Jun 2025,28 Jun 2025,SP BANG CLOTHES         MIAMI,62.16
26 Jun 2025,26 Jun 2025,FRESHWEST GRILL         Toronto,14.97
26 Jun 2025,27 Jun 2025,REXALL PHARMACY #0943 T TORONTO,5.07
25 Jun 2025,27 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,9.04
25 Jun 2025,27 Jun 2025,WECOOK 849420000489000  844-4932665,165.50
24 Jun 2025,24 Jun 2025,PAYMENT RECEIVED - THANK YOU,-2218.17
24 Jun 2025,26 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,9.04
24 Jun 2025,24 Jun 2025,WAVY BARBERSHOP         Toronto,62.38
23 Jun 2025,23 Jun 2025,AMZN MKTP CA*NO67J48Z0  WWW.AMAZON.CA,24.29
23 Jun 2025,23 Jun 2025,AMZN MKTP CA*NQ1V970X2  WWW.AMAZON.CA,30.52
23 Jun 2025,25 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,9.04
22 Jun 2025,22 Jun 2025,APPLE.COM/BILL          TORONTO,28.24
22 Jun 2025,23 Jun 2025,DOORDASHFRESHBURRIT     DOWNTOWN TORONT,28.69
22 Jun 2025,24 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,5.07
22 Jun 2025,24 Jun 2025,SHOPPERS DRUG MART #141 TORONTO,12.75
21 Jun 2025,22 Jun 2025,CHIPOTLE 5323           TORONTO,19.61
21 Jun 2025,23 Jun 2025,CIRCLE K  #69007        TORONTO,10.40
21 Jun 2025,23 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,4.17
21 Jun 2025,21 Jun 2025,WAVY BARBERSHOP         TORONTO,25.00
20 Jun 2025,21 Jun 2025,CHIPOTLE 5323           TORONTO,19.61
20 Jun 2025,22 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,19.53
19 Jun 2025,20 Jun 2025,DISTRIBUTEL             VERDUN,42.88
19 Jun 2025,21 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,19.20
18 Jun 2025,19 Jun 2025,AMZN MKTP CA*NO6G818V2  WWW.AMAZON.CA,70.19
18 Jun 2025,18 Jun 2025,MAID4CONDOS.COM         TORONTO,142.18
18 Jun 2025,18 Jun 2025,OPENAI                  SAN FRANCISCO,31.50
16 Jun 2025,18 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,7.91
15 Jun 2025,16 Jun 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,23.12
15 Jun 2025,17 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,5.41
15 Jun 2025,17 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,6.20
15 Jun 2025,17 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,11.29
14 Jun 2025,15 Jun 2025,DOORDASHLADIPERIE       DOWNTOWN TORONT,14.00
14 Jun 2025,15 Jun 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,23.12
14 Jun 2025,14 Jun 2025,PILOT COFFEE OSSINGTON  Toronto,6.50
14 Jun 2025,16 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,4.51
14 Jun 2025,15 Jun 2025,SHOPPERS DRUG MART #14  TORONTO,42.02
14 Jun 2025,16 Jun 2025,SHOPPERS DRUG MART #141 TORONTO,7.91
13 Jun 2025,14 Jun 2025,DOORDASHLADIPERIE       DOWNTOWN TORONT,14.00
13 Jun 2025,14 Jun 2025,DOORDASHTHEHAIFAROO     DOWNTOWN TORONT,29.97
13 Jun 2025,15 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,14.77
12 Jun 2025,12 Jun 2025,FACTOR                  TORONTO,105.12
12 Jun 2025,13 Jun 2025,GREEN BOX 001           TORONTO,21.47
12 Jun 2025,13 Jun 2025,SQUARE ONE INSURANCE SE VANCOUVER,17.28
10 Jun 2025,10 Jun 2025,APPLE.COM/BILL          TORONTO,14.68
10 Jun 2025,11 Jun 2025,GREEN BOX 001           TORONTO,16.89
09 Jun 2025,10 Jun 2025,REXALL PHARMACY #0943 T TORONTO,13.56
08 Jun 2025,09 Jun 2025,BAR SERENE 001          TORONTO,6.50
08 Jun 2025,09 Jun 2025,BAR SERENE 001          TORONTO,11.70
08 Jun 2025,09 Jun 2025,BAR SERENE 001          TORONTO,11.70
08 Jun 2025,09 Jun 2025,CHIPOTLE 5323           TORONTO,19.61
08 Jun 2025,09 Jun 2025,DOJO-SUB                BELLUNO,14.03
08 Jun 2025,09 Jun 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,20.87
08 Jun 2025,10 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,4.84
08 Jun 2025,09 Jun 2025,SHOPPERS DRUG MART #139 TORONTO,15.82
07 Jun 2025,09 Jun 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,20.87
07 Jun 2025,08 Jun 2025,PHOTOAI.ME              DUBLIN,42.10
07 Jun 2025,08 Jun 2025,TST-PUBLIC GARDENS - K  TORONTO,649.36
06 Jun 2025,07 Jun 2025,DOORDASHTHEHAIFAROO     DOWNTOWN TORONT,31.85
06 Jun 2025,08 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,9.92
05 Jun 2025,05 Jun 2025,FACTOR                  TORONTO,171.85
05 Jun 2025,06 Jun 2025,FREEBIRD MARKET 001     TORONTO,19.21
05 Jun 2025,06 Jun 2025,REXALL PHARMACY #0943 T TORONTO,5.65
03 Jun 2025,03 Jun 2025,FRESHWEST GRILL         Toronto,18.36
03 Jun 2025,03 Jun 2025,MEMBERSHIP FEE INSTALLMENT,12.99
03 Jun 2025,04 Jun 2025,REXALL PHARMACY #0943 T TORONTO,5.07
02 Jun 2025,03 Jun 2025,DOORDASHIMPERFECTFR     DOWNTOWN TORONT,34.35
01 Jun 2025,02 Jun 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,20.87
31 May 2025,02 Jun 2025,CHIPOTLE #2986          TORONTO,20.51
31 May 2025,02 Jun 2025,SHOPPERS DRUG MART #132 TORONTO,9.92
30 May 2025,31 May 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,18.61
30 May 2025,30 May 2025,FRESHWEST GRILL         Toronto,18.36
29 May 2025,30 May 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,23.12
29 May 2025,29 May 2025,FRESHWEST GRILL         Toronto,18.36
29 May 2025,29 May 2025,WAVY BARBERSHOP         Toronto,62.38
28 May 2025,29 May 2025,AMZN MKTP CA*NN8XL8VZ1  WWW.AMAZON.CA,135.91
28 May 2025,28 May 2025,FRESHWEST GRILL         Toronto,18.36
28 May 2025,29 May 2025,TCKTWEB*LINEUPINFOATEL  800-965-4827,100.31
27 May 2025,27 May 2025,SALUS SCOTIA            Toronto,16.95
27 May 2025,29 May 2025,SHOPPERS DRUG MART #132 TORONTO,17.33
26 May 2025,26 May 2025,FRESHWEST GRILL         Toronto,18.36
26 May 2025,28 May 2025,SHOPPERS DRUG MART #132 TORONTO,9.04
25 May 2025,26 May 2025,CHIPOTLE #2986          TORONTO,19.61
25 May 2025,26 May 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,20.87
25 May 2025,27 May 2025,SHOPPERS DRUG MART #132 TORONTO,13.55
24 May 2025,25 May 2025,CHIPOTLE #2986          TORONTO,19.61
24 May 2025,25 May 2025,DOLLARAMA #1471         TORONTO,24.58
24 May 2025,25 May 2025,DOORDASHTACOLOVE        DOWNTOWN TORONT,26.89
24 May 2025,24 May 2025,PAYMENT RECEIVED - THANK YOU,-2210.37
24 May 2025,26 May 2025,SHOPPERS DRUG MART #132 TORONTO,12.75
24 May 2025,25 May 2025,SP BANG CLOTHES         MIAMI,210.10
23 May 2025,25 May 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,26.74
23 May 2025,25 May 2025,SHOPPERS DRUG MART #132 TORONTO,15.81
22 May 2025,23 May 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,22.87
22 May 2025,24 May 2025,SHOPPERS DRUG MART #132 TORONTO,11.28
21 May 2025,21 May 2025,FRESHWEST GRILL         Toronto,18.36
20 May 2025,21 May 2025,DISTRIBUTEL             VERDUN,42.88
20 May 2025,22 May 2025,SHOPPERS DRUG MART #132 TORONTO,8.46
19 May 2025,21 May 2025,SHOPPERS DRUG MART #132 TORONTO,10.15
18 May 2025,18 May 2025,ELECTRIC ISLAND 2025    Toronto,5.00
18 May 2025,20 May 2025,JACK ASTOR'S FRONT ST.  TORONTO,93.69
18 May 2025,20 May 2025,KING FRESH FOODMARKET 0 TORONTO,6.20
18 May 2025,19 May 2025,SAM JAMES COFFEE BAR 00 TORONTO,7.01
18 May 2025,20 May 2025,SHOPPERS DRUG MART #132 TORONTO,10.48
18 May 2025,20 May 2025,SHOPPERS DRUG MART #132 TORONTO,11.05
18 May 2025,18 May 2025,UBER TRIP               HTTPS://HELP.UB,11.36
17 May 2025,18 May 2025,CHIPOTLE #2986          TORONTO,19.61
17 May 2025,18 May 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,24.98
17 May 2025,17 May 2025,ELECTRIC ISLAND 2025    Toronto,11.80
17 May 2025,17 May 2025,ELECTRIC ISLAND 2025    Toronto,14.16
16 May 2025,16 May 2025,IMPERFECT FRESH EATS    Toronto,35.65
16 May 2025,18 May 2025,SHOPPERS DRUG MART #132 TORONTO,10.48
16 May 2025,16 May 2025,WAVY BARBERSHOP         Toronto,62.38
15 May 2025,15 May 2025,FRESHWEST GRILL         Toronto,18.36
15 May 2025,16 May 2025,REXALL PHARMACY #0943 T TORONTO,4.28
15 May 2025,17 May 2025,SHOPPERS DRUG MART #132 TORONTO,8.74
14 May 2025,14 May 2025,FRESHWEST GRILL         Toronto,18.36
13 May 2025,13 May 2025,SALUS SCOTIA            Toronto,18.65
12 May 2025,12 May 2025,FRESHWEST GRILL         Toronto,18.36
12 May 2025,13 May 2025,SQUARE ONE INSURANCE SE VANCOUVER,17.28
11 May 2025,12 May 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,22.00
11 May 2025,13 May 2025,SHOPPERS DRUG MART #132 TORONTO,4.51
11 May 2025,13 May 2025,SHOPPERS DRUG MART #132 TORONTO,9.03
10 May 2025,11 May 2025,AMZN MKTP CA*NI04E6191  WWW.AMAZON.CA,59.27
10 May 2025,10 May 2025,APPLE.COM/BILL          TORONTO,14.68
10 May 2025,11 May 2025,CHIPOTLE #2986          TORONTO,22.60
10 May 2025,12 May 2025,SHOPPERS DRUG MART #132 TORONTO,4.17
09 May 2025,11 May 2025,DOORDASHTAHINIS         DOWNTOWN TORONT,24.69
09 May 2025,09 May 2025,FRESHWEST GRILL         Toronto,18.36
08 May 2025,09 May 2025,DOJO-SUB                BELLUNO,14.14
07 May 2025,08 May 2025,AMZN MKTP CA*NB33R0RL1  WWW.AMAZON.CA,66.88
07 May 2025,08 May 2025,PHOTOAI.ME              DUBLIN,42.42
06 May 2025,06 May 2025,AMZN MKTP CA*NI1BP7D72  WWW.AMAZON.CA,32.96
06 May 2025,07 May 2025,AMZN MKTP CA*NI7HI2SF2  WWW.AMAZON.CA,18.02
06 May 2025,06 May 2025,FRESHWEST GRILL         Toronto,18.36
06 May 2025,07 May 2025,TCKTWEB*LINEUPINFOATEL  800-965-4827,100.31
05 May 2025,06 May 2025,AMZN MKTP CA*NB7SG4B10  WWW.AMAZON.CA,12.99
05 May 2025,05 May 2025,FRESHWEST GRILL         Toronto,18.36
04 May 2025,05 May 2025,CHIPOTLE 5323           TORONTO,21.41
04 May 2025,05 May 2025,DOORDASHTACOLOVE        DOWNTOWN TORONT,31.99
